mode,q_mode,cl,SDSS9,m_SDSS9,objID,Sp-ID,RA_ICRS,DE_ICRS,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,pmRA,pmDE,f_zsp
1,+,3,"J023102.10-023810.5",,1237678879963414837,"4344-55557-0236",37.75876,-2.636271,2008.8306,3,23.916,2.246,20.888,0.067,19.22,0.026,18.539,0.023,18.206,0.057,0.35126,-17,0,0
1,+,3,"J023059.49-023558.9",,1237678879963414821,"4344-55557-0227",37.747905,-2.599721,2008.8306,3,22.015,0.418,21.767,0.118,20.273,0.053,19.363,0.039,18.998,0.094,0.50329,,,0
1,+,3,"J023153.96-024023.5",,1237678879963480258,"4344-55557-0188",37.974872,-2.673209,2008.8306,3,21.362,0.28,19.551,0.023,18.12,0.012,17.564,0.011,17.195,0.026,0.24402,-5,-11,0
1,+,3,"J023202.13-023840.3",,1237678879963480652,"4344-55557-0189",38.008879,-2.644544,2008.8306,3,22.417,0.438,21.739,0.092,20.764,0.07,19.803,0.045,19.743,0.15,0.74082,,,0
1,+,3,"J023207.98-023622.4",,1237678879963480285,"4344-55557-0192",38.033278,-2.606222,2008.8306,3,23.411,1.167,20.715,0.045,19.021,0.019,18.364,0.016,18.012,0.039,0.36411,4,13,0
1,+,3,"J023156.58-023532.5",,1237678879963480878,"4344-55557-0185",37.985768,-2.592363,2008.8306,3,23.248,1.325,22.272,0.219,20.45,0.077,19.465,0.05,18.938,0.109,0.56802,,,0
1,+,6,"J023216.75-023426.8",,1237678879963545990,"4344-55557-0194",38.069824,-2.574113,2008.8306,3,22.365,0.287,20.888,0.033,20.644,0.042,20.632,0.06,20.537,0.194,2.9511,5,10,0
1,+,3,"J023207.49-023417.5",,1237678879963480730,"4344-55557-0200",38.031243,-2.571537,2008.8306,3,22.237,0.729,20.323,0.052,18.662,0.022,17.99,0.018,17.52,0.041,0.36534,-2,1,0
1,,3,"J023219.73-023116.1",,1237678879963546037,"4344-55557-0141",38.082243,-2.521158,2008.8306,3,21.381,0.411,21.087,0.124,19.412,0.051,18.397,0.032,17.791,0.066,0.5272,,,0
1,+,3,"J023210.25-022918.1",,1237678889063154396,"4344-55557-0191",38.042747,-2.488363,2008.8333,3,22.882,1.406,22.259,0.302,20.388,0.106,19.263,0.058,18.938,0.17,0.56798,,,0
1,+,3,"J023126.76-023207.9",,1237678879963415076,"4344-55557-0221",37.861502,-2.535533,2008.8306,3,25.119,1.34,22.178,0.118,20.618,0.049,19.697,0.035,19.372,0.092,0.45272,,,0
1,+,3,"J023127.94-023057.9",,1237678889063023325,"4344-55557-0233",37.866444,-2.516109,2008.8333,3,26.667,0.943,21.086,0.093,19.164,0.032,18.526,0.027,17.995,0.065,0.37953,5,-7,0
1,+,3,"J023144.29-022819.7",,1237678889063088618,"4344-55557-0193",37.934542,-2.472144,2008.8333,3,24.0,1.454,22.449,0.173,20.584,0.059,19.451,0.033,18.89,0.076,0.57031,,,0
1,+,3,"J023140.49-022726.5",,1237678889063088567,"4344-55557-0199",37.918746,-2.457367,2008.8333,3,26.435,0.741,21.499,0.088,19.882,0.038,19.088,0.029,18.537,0.067,0.44146,,,0
1,+,6,"J023442.13-025846.6",,1237679255747100885,"4343-55540-0488",38.675549,-2.979633,2008.9753,3,21.579,0.158,20.837,0.031,20.797,0.043,20.929,0.069,20.444,0.168,2.46737,,,0
1,+,3,"J023432.42-025704.1",,1237679255747101389,"4344-55557-0059",38.635099,-2.951165,2008.9753,3,23.942,1.54,22.694,0.21,20.677,0.059,19.532,0.033,18.944,0.071,0.60225,,,0
1,+,3,"J023457.54-025408.6",,1237678888526545500,"4344-55557-0057",38.739786,-2.902391,2008.8333,3,23.251,1.039,22.001,0.132,21.134,0.115,20.159,0.071,19.847,0.194,0.71748,,,4
1,+,6,"J023433.03-025156.5",,1237678888526545189,"4344-55557-0060",38.637626,-2.865715,2008.8333,3,21.621,0.15,21.205,0.038,21.133,0.056,21.218,0.084,20.7,0.193,6.54026,,,4
1,+,6,"J023502.01-025031.4",,1237678888526545552,"4343-55540-0496",38.758399,-2.842055,2008.8333,3,22.388,0.279,21.492,0.048,21.555,0.08,21.493,0.107,21.806,0.469,2.24372,,,0
1,+,3,"J023457.33-024811.7",,1237678888526545716,"4343-55540-0489",38.738895,-2.803256,2008.8333,3,25.155,2.145,22.292,0.193,20.58,0.078,19.396,0.041,18.76,0.084,0.58829,3,13,0
1,+,3,"J023453.20-024813.3",,1237678888526545134,"4344-55557-0031",38.721688,-2.803707,2008.8333,3,22.322,0.442,22.363,0.157,20.928,0.081,19.863,0.047,19.381,0.112,0.60044,,,0
1,+,6,"J023443.72-024825.0",,1237678888526545210,"4344-55557-0066",38.682201,-2.806945,2008.8333,3,21.163,0.115,20.785,0.03,20.692,0.042,20.782,0.065,20.269,0.151,0.78259,,,4
1,,3,"J023450.19-024346.0",,1237678888526545444,"4344-55557-0022",38.709137,-2.729446,2008.8333,3,22.369,0.508,20.887,0.052,19.167,0.021,18.528,0.018,18.153,0.044,0.36745,2,2,0
