Num,Name,RAJ2000,DEJ2000,imag,z,f_z
20094697,"VVDS-J022716.98-044805.5",36.8207873,-4.8015401,21.719,0.5196,4
20094068,"VVDS-J022716.67-044806.2",36.8194624,-4.8017444,24.1047,1.0524,21
20094763,"VVDS-J022717.87-044759.6",36.8244875,-4.7999154,23.4791,1.134,1
20094726,"VVDS-J022714.45-044801.9",36.8102463,-4.8005433,22.3417,0.7248,3
20098942,"VVDS-J022715.39-044734.9",36.8141624,-4.7930511,19.1768,0.2928,2
20099390,"VVDS-J022717.43-044721.7",36.8226641,-4.7893768,22.8012,1.0612,3
20090449,"VVDS-J022728.11-044841.0",36.8671253,-4.8113891,22.7102,9.9999,0
20091952,"VVDS-J022730.23-044825.8",36.8759592,-4.8071731,23.8967,0.6406,2
20091623,"VVDS-J022728.12-044833.0",36.8671742,-4.8091889,21.5068,0.1401,4
20091908,"VVDS-J022727.12-044826.7",36.8630068,-4.8074302,23.1736,0.8909,2
20092426,"VVDS-J022729.10-044825.6",36.8712702,-4.8071311,21.7687,0.3778,4
